temp_c 
22.27
23.24
23.73
22.75
23.24
23.24
23.24
22.75
23.24
22.75
23.24
23.24
23.24
23.24
22.75
23.24
22.75
23.24
23.24
22.75
23.24
23.24
22.75
22.75
23.24
22.75
22.75
22.75
23.24
22.75
22.75
22.75
22.75
22.75
23.24
23.24
23.73
22.75
23.24
23.24
23.24
23.24
22.75
23.24
23.24
23.24
23.24
22.75
22.75
23.24
22.75
22.75
23.24
22.75
22.75
22.75
22.75
22.27
22.75
22.27
22.75
22.75
22.75
23.24
22.75
23.24
22.75
23.24
22.75
23.24
22.75
23.24
22.75
22.75
22.75
22.75
22.75
22.75
22.75
22.75
23.24
22.75
22.75
23.24
22.27
22.27
22.27
22.27
22.27
22.27
22.27
22.27
22.75
22.27
22.27
22.75
22.75
23.24
22.27
22.27
22.75
22.75
22.75
22.75
22.75
22.75
22.27
23.24
22.75
22.75
22.75
22.75
22.75
22.75
22.75
22.75
23.24
23.24
22.75
22.75
22.75
22.75
23.24
22.75
22.75
22.75
22.75
22.75
22.75
22.75
22.75
23.24
23.24
22.75
22.75
22.75
22.27
22.75
22.75
22.75
22.75
22.75
22.75
22.75
23.24
22.75
23.24
22.75
22.75
22.75
22.75
22.75
22.75
22.75
22.75
23.24
22.75
22.27
22.27
22.27
22.27
22.75
22.75
22.75
22.75
22.27
21.78
22.27
22.27
22.27
22.27
22.75
22.75
22.27
22.27
22.27
21.78
21.78
21.78
22.27
22.75
22.75
22.75
22.27
22.75
22.75
22.27
22.27
22.75
22.75
22.27
22.75
22.75
22.27
22.75
22.75
22.75
22.75
22.27
22.75
22.27
22.27
22.27
22.75
22.75
22.75
22.75
22.75
22.75
22.75
22.27
22.27
22.27
22.27
22.75
22.75
22.27
22.27
22.27
22.75
22.27
22.75
23.24
22.75
22.27
22.75
22.27
22.27
22.27
22.27
22.75
22.75
22.75
22.27
22.75
22.75
23.24
22.27
22.27
22.27
22.75
22.27
22.27
22.27
22.27
22.27
21.78
22.27
22.27
22.27
22.27
22.27
22.75
22.27
22.27
